Id,NDVI_mean,NDVI_min,NDVI_max,Fecha
77,0.6446534741780436,0.5427682737169518,0.7377803335250144,2023-01-15
78,0.629870694950188,0.5415549597855228,0.7061035579982644,2023-01-19
79,0.4583498661579242,0.20391061452513967,0.6748356246264196,2023-02-04
80,0.46142902520457174,0.2058508740635034,0.672697812584391,2023-02-06
81,0.4759697223156594,0.23616819475181788,0.6779556650246306,2023-02-12
82,0.49512984018575723,0.27989487516425754,0.6617566830332787,2023-02-16
83,0.4986469662566032,0.2775405636208369,0.6956889264581573,2023-02-21
84,0.5008422793729289,0.2958466453674121,0.673395601084664,2023-02-23
85,0.5176661211536866,0.32840549102428723,0.6719548265662812,2023-03-02
86,0.5034118308555446,0.311716621253406,0.6445483776673487,2023-03-04
87,0.544853436132393,0.35953574254814036,0.6698615548455804,2023-03-06
