,Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,Valor,Kc,ETc
30,31,2022-08-09,12,0.0885373442878267,0.0573139435414884,0.2028890347997373,-0.3680032465061175,-0.4094677721315859,-0.1837825796391178,5.827051,0.2718179459310007,1.5838970336551836
31,32,2022-08-14,12,0.212404306317832,0.1056218057921635,0.3099489795918367,-0.2515740043851507,-0.3365853658536585,-0.1224097415082247,4.6757207,0.4142649522655068,1.9369872125923422
32,33,2022-08-19,12,0.1477342666271184,0.1191275167785234,0.3050847457627119,-0.316761158595033,-0.3505761843790013,-0.102845619538427,5.8684616,0.33989440662118614,1.9946572733112164
33,34,2022-08-19,12,0.1515360668499771,0.1228070175438596,0.3059360730593607,-0.3124710182881253,-0.3466257668711656,-0.1014362657091561,5.8684616,0.3442664768774737,2.020314599722742
34,35,2022-08-24,12,0.1417234977266248,0.1008771929824561,0.3212827988338192,-0.2936510035805333,-0.3271665043816942,-0.1038986740550168,6.1952357,0.33298202238561847,2.0629021125415825
35,36,2022-09-13,12,0.2462505839666064,0.1539888682745825,0.5910290237467019,-0.2549864587964883,-0.352252017703723,-0.0080417300586828,4.9527225,0.4531881715615973,2.2445152540269833
36,37,2022-09-23,12,0.4437701201824784,0.2451433857539315,0.7817638266068759,-0.1283852812886629,-0.2916224814422057,0.1983914209115281,4.5191703,0.6803356382098502,3.0745526102295
37,38,2022-10-03,12,0.5628596851399822,0.2822138944940905,0.7543691644721092,0.0293041464174811,-0.2430830039525691,0.2336004749183734,4.1034803,0.8172886379109795,3.353727825081538
38,39,2022-10-13,12,0.2505548058297722,0.1617541337167505,0.3838319541693189,-0.2222626810448282,-0.3361462728551336,-0.0496174863387978,4.6832104,0.458138026704238,2.145556771296765
39,40,2022-10-28,12,0.1776904174218231,0.0900243309002433,0.3577142857142857,-0.1437798677508815,-0.3976833976833976,0.1011235955056179,4.6422086,0.37434398003509656,1.7377828434771536
40,41,2022-11-02,12,0.1886305306475286,0.1396957123098202,0.5476363636363636,-0.2408030747943276,-0.2895189003436426,0.1176470588235294,2.955152,0.3869251102446579,1.1434225133897213
41,42,2022-11-27,12,0.2392471139426759,0.1628721541155867,0.3992820103709613,-0.2814627035310665,-0.3329081632653061,-0.1025045184611412,3.1606627,0.4451341810340773,1.4069190024894556
42,43,2022-12-07,12,0.2505514910260693,0.1466666666666666,0.3800738007380074,-0.0501465704530647,-0.2375933245498463,0.0814132104454685,2.3421037,0.4581342146799796,1.0729978392985746
43,44,2022-12-22,12,0.4032321790983335,0.2639724849527085,0.5112540192926045,-0.1167845099002581,-0.2189884148064425,0.1073184842348857,2.7082531,0.6337170059630834,1.7162660459222392
44,45,2022-12-27,12,0.4089481192703036,0.2766338406445837,0.5291222313371616,-0.1094364922789972,-0.2161849710982659,0.1035353535353535,2.660874,0.6402903371608492,1.7037319106025375
45,46,2023-01-06,12,0.4555629165145274,0.297029702970297,0.5627466456195738,-0.0202688097771159,-0.1452791581408944,0.1123532699832308,2.9338212,0.6938973539917065,2.0357707677647734
46,47,2023-01-16,12,0.5020834095586212,0.3410788381742738,0.6321243523316062,-0.0051508150699944,-0.1285215991414006,0.0746268656716417,3.2085419,0.7473959209924144,2.3980511283932513
47,48,2023-02-05,12,0.5528746252728772,0.399120050282841,0.6515892420537898,0.0609230239798963,-0.0518588681032441,0.1330294239535847,3.3481278,0.8058058190638088,2.697940864209308
48,49,2023-02-15,12,0.5015812383588624,0.3673780487804878,0.5818525519848772,0.0025040226961984,-0.1138104040137311,0.0913744561044279,4.5148997,0.7468184241126917,3.3718102789808646
49,50,2023-03-02,12,0.5517008850309405,0.3297746144721233,0.6530009839291571,0.0818263762848337,-0.0895295902883156,0.2146490335707019,6.1044188,0.8044560177855816,4.910736438743439
50,51,2023-03-07,12,0.4222227855271399,0.2267620020429009,0.531809759110562,0.087881200008522,-0.0661314177054722,0.1892605633802817,4.6806307,0.6555562033562108,3.0684164910045233
51,52,2023-03-12,12,0.5152710831914264,0.3220338983050847,0.5939565627950897,0.1039628222342612,-0.0695825049701789,0.2166578808645229,5.3992944,0.7625617456701405,4.117295363051014
52,53,2023-03-17,12,0.6056204826025517,0.3500305436774588,0.7001545595054096,0.1278211969750617,-0.1116860715825786,0.2173544973544973,5.5589886,0.8664635549929345,4.816661024521196
