Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,msi_mean,msi_min,msi_max
34,2022-08-24,4,0.6385051262325516,0.45721547585427846,0.7410207939508506,0.1473839741515347,-0.019943019943019943,0.2708407871198569,0.747000261386386,0.5737612612612613,1.0406976744186047
35,2022-08-19,4,0.6289483365745215,0.4611815651098051,0.7227621483375959,0.12536096432307142,-0.03185840707964602,0.23943661971830985,0.7811506626945629,0.6136363636363636,1.0658135283363803
36,2022-09-23,4,0.7210330806424072,0.4588235294117647,0.8208955223880597,0.2154481779858701,-0.11190689346463742,0.36754607878568846,0.6556285186758407,0.46247357293868924,1.252016129032258
37,2022-09-08,4,0.5542444347361195,-0.06500956022944551,0.782520325203252,0.3443951153570277,0.03101424979044426,0.47075525269733104,0.49041873858366325,0.3598455598455598,0.9398373983739837
38,2022-09-13,4,0.6745180210834312,0.40028901734104044,0.7958354494667343,0.1676932042363865,-0.13847521671482552,0.3318267419962335,0.7244134932308199,0.5016968325791855,1.3214654282765739
39,2022-10-03,4,0.7357510514181228,0.47297297297297297,0.837183224938327,0.24777127520755124,-0.09015025041736227,0.40177960301163584,0.6129659691576343,0.4267578125,1.198165137614679
40,2022-11-02,4,0.6448764346402949,0.40119760479041916,0.745719489981785,0.34643173179798326,0.06685044796691937,0.5226676657924316,0.4926494992316329,0.31348425196850394,0.8746770025839793
41,2022-10-23,4,0.5811877237114351,0.23318605792832597,0.7516869095816464,0.2632303539261028,0.06573385803818685,0.3806621250149396,0.5865136923244549,0.4485803324099723,0.8766411378555798
42,2022-10-28,4,0.7588579977103568,0.5743707093821511,0.8262125902992776,0.296579048017641,0.04638783269961977,0.407979813909478,0.547585367089218,0.4204749103942652,0.9113372093023255
43,2022-10-13,4,0.7520654126774322,0.4924137931034483,0.8430472693896283,0.249827316953064,-0.08439897698209718,0.391304347826087,0.6101372206036075,0.4375,1.1843575418994414
44,2022-12-27,4,0.7599545202161448,0.5364963503649635,0.8406905055487053,0.30672088824499316,0.0703306939916162,0.43397698459137896,0.5370662531680263,0.39472252448313383,0.8685813751087903
