,Fecha,Valor
0,2022-10-05,2.69274
0,2022-10-06,2.0002646
0,2022-10-07,2.9768763
0,2022-10-08,3.0380466
0,2022-10-09,3.9113736
0,2022-10-10,2.9754384
0,2022-10-11,3.5195637
0,2022-10-12,4.2070804
0,2022-10-13,4.4506645
0,2022-10-14,3.887715
0,2022-10-15,4.2179914
0,2022-10-16,4.6399055
0,2022-10-17,3.9563053
0,2022-10-18,1.997968
0,2022-10-19,2.7772248
0,2022-10-20,3.668676
0,2022-10-21,3.8425531
0,2022-10-22,4.052212
0,2022-10-23,4.078336
0,2022-10-24,4.2698207
0,2022-10-25,3.8781958
0,2022-10-26,3.6062038
0,2022-10-27,4.1327763
0,2022-10-28,4.3675904
0,2022-10-29,3.5955544
0,2022-10-30,3.575128
0,2022-10-31,2.7308316
0,2022-11-01,2.8624253
0,2022-11-02,2.9819264
0,2022-11-03,3.904034
0,2022-11-04,4.232916
0,2022-11-05,3.8514118
0,2022-11-06,3.8093112
0,2022-11-07,2.8523674
0,2022-11-08,3.2235177
0,2022-11-09,3.0930164
0,2022-11-10,3.6293554
0,2022-11-11,3.6352928
0,2022-11-12,3.3009667
0,2022-11-13,2.4155378
0,2022-11-14,3.6954594
0,2022-11-15,3.119675
0,2022-11-16,2.4181404
0,2022-11-17,1.0231955
0,2022-11-18,1.8180445
0,2022-11-19,2.4892232
0,2022-11-20,1.140683
0,2022-11-21,1.2807975
0,2022-11-22,1.4673575
0,2022-11-23,2.6518066
0,2022-11-24,2.9892247
0,2022-11-25,2.0590343
0,2022-11-26,1.7585293
0,2022-11-27,2.9512036
0,2022-11-28,2.7338514
0,2022-11-29,3.2019982
0,2022-11-30,3.454623
0,2022-12-01,1.4345226
0,2022-12-02,2.7854483
0,2022-12-03,2.499586
0,2022-12-04,2.5210118
0,2022-12-05,3.0859008
0,2022-12-06,2.8764524
0,2022-12-07,2.4831939
0,2022-12-08,2.9118993
0,2022-12-09,2.83692
0,2022-12-10,2.9330058
0,2022-12-11,2.5464041
0,2022-12-12,3.1419494
0,2022-12-13,3.2502494
0,2022-12-14,3.2193253
0,2022-12-15,2.676461
0,2022-12-16,2.4605174
0,2022-12-17,2.4036317
0,2022-12-18,1.5985248
0,2022-12-19,2.5799732
0,2022-12-20,3.157367
0,2022-12-21,2.2009718
0,2022-12-22,2.6765351
0,2022-12-23,2.824297
0,2022-12-24,1.5939363
0,2022-12-25,1.3060548
0,2022-12-26,2.305277
0,2022-12-27,2.6593611
0,2022-12-28,2.925103
0,2022-12-29,2.972631
0,2022-12-30,2.6834745
0,2022-12-31,2.8837607
0,2023-01-01,2.9516053
0,2023-01-02,3.2834735
0,2023-01-03,3.250259
0,2023-01-04,2.975847
0,2023-01-05,2.8469372
0,2023-01-06,3.0615165
0,2023-01-07,3.1588914
0,2023-01-08,2.6861994
0,2023-01-09,2.4628055
0,2023-01-10,2.911676
0,2023-01-11,3.2064493
0,2023-01-12,4.014512
0,2023-01-13,3.1285636
0,2023-01-14,3.072088
0,2023-01-15,3.4695623
0,2023-01-16,3.1169145
0,2023-01-17,3.1984043
0,2023-01-18,3.5827081
0,2023-01-19,3.6170955
0,2023-01-20,2.8982964
0,2023-01-21,3.044951
0,2023-01-22,2.5782223
0,2023-01-23,1.395999
0,2023-01-24,3.9905019
0,2023-01-25,3.2462387
0,2023-01-26,1.9271488
0,2023-01-27,1.5618802
0,2023-01-28,3.4051642
0,2023-01-29,3.5343387
0,2023-01-30,3.1774783
0,2023-01-31,2.871845
0,2023-02-01,1.3226827
0,2023-02-02,1.9017985
0,2023-02-03,2.9461608
0,2023-02-04,3.2100914
0,2023-02-05,3.3240013
0,2023-02-06,3.7353141
0,2023-02-07,3.644575
0,2023-02-08,3.0181074
0,2023-02-09,2.9730883
0,2023-02-10,2.6209743
0,2023-02-11,3.172282
0,2023-02-12,3.575241
0,2023-02-13,3.9967766
0,2023-02-14,4.208664
0,2023-02-15,4.4592023
0,2023-02-16,4.9974346
0,2023-02-17,4.270911
0,2023-02-18,3.6561139
0,2023-02-19,3.6007895
0,2023-02-20,4.2249837
0,2023-02-21,4.4843183
0,2023-02-22,5.233452
0,2023-02-23,4.537007
0,2023-02-24,4.2182713
0,2023-02-25,3.7764935
0,2023-02-26,4.6460133
0,2023-02-27,4.7535067
0,2023-02-28,4.760427
0,2023-03-01,5.056701
0,2023-03-02,6.0360613
0,2023-03-03,5.7364874
0,2023-03-04,4.668519
0,2023-03-05,4.6198974
0,2023-03-06,4.8942738
0,2023-03-07,4.690739
0,2023-03-08,4.8108845
0,2023-03-09,4.85615
0,2023-03-10,4.6888413
0,2023-03-11,5.077275
0,2023-03-12,4.9784517
0,2023-03-13,3.9884474
0,2023-03-14,2.0603673
0,2023-03-15,3.1103513
0,2023-03-16,5.282575
0,2023-03-17,5.026175
0,2023-03-18,4.8629384
0,2023-03-19,1.9329151
0,2023-03-20,2.3820229
0,2023-03-21,5.1438413
0,2023-03-22,4.9726596
0,2023-03-23,4.9226933
0,2023-03-24,5.721313
0,2023-03-25,5.6296296
